County,Race,Age,Gender,Education Level,Employment Status,Income Level,Prior Convictions,Risk Score,Judge Decision,Re-offense
Claiborne County,Black,56,Male,High School,Unemployed,"> $100,000",0,6,Denied,No
Claiborne County,Black,71,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",4,8,Denied,Yes
Claiborne County,Black,28,Female,Less than High School,Unemployed,"$20,000 - $50,000",0,5,Denied,No
Claiborne County,Black,33,Male,High School,Unemployed,"< $20,000",1,8,Denied,Yes
Claiborne County,Black,68,Male,Some College,Employed,"< $20,000",1,10,Denied,Yes
Claiborne County,Black,32,Female,Less than High School,Employed,"$20,000 - $50,000",3,9,Denied,No
Claiborne County,Black,57,Female,High School,Employed,"< $20,000",3,8,Denied,Yes
Claiborne County,Black,20,Male,Some College,Employed,"$50,000 - $100,000",1,8,Denied,No
Claiborne County,Black,37,Female,Less than High School,Unemployed,"< $20,000",2,5,Denied,No
Claiborne County,Black,31,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",3,7,Denied,No
Claiborne County,Black,70,Male,High School,Employed,"< $20,000",3,6,Denied,Yes
Claiborne County,Black,42,Male,High School,Employed,"$50,000 - $100,000",1,6,Denied,No
Claiborne County,Black,24,Male,Master's Degree,Employed,"$20,000 - $50,000",0,8,Denied,Yes
Claiborne County,White,31,Female,Less than High School,Unemployed,"$50,000 - $100,000",2,7,Denied,No
Claiborne County,Black,65,Female,Less than High School,Unemployed,"< $20,000",2,10,Denied,Yes
Claiborne County,Black,56,Male,Bachelor's Degree,Employed,"$20,000 - $50,000",1,6,Denied,No
Claiborne County,Black,24,Female,Master's Degree,Employed,"$50,000 - $100,000",0,5,Denied,No
Claiborne County,Black,61,Male,High School,Employed,"< $20,000",1,7,Denied,Yes
Claiborne County,Black,27,Male,Some College,Employed,"$50,000 - $100,000",2,3,Granted,No
Claiborne County,Black,75,Female,Less than High School,Employed,"< $20,000",1,9,Denied,Yes
Claiborne County,Black,27,Male,High School,Unemployed,"$20,000 - $50,000",4,6,Denied,Yes
Claiborne County,Black,63,Female,Master's Degree,Employed,"$50,000 - $100,000",2,6,Denied,No
Claiborne County,Other,20,Female,Master's Degree,Employed,"< $20,000",0,5,Granted,No
Claiborne County,Black,67,Female,Less than High School,Employed,"$20,000 - $50,000",5,9,Denied,No
Claiborne County,Black,48,Female,Some College,Unemployed,"$20,000 - $50,000",4,6,Denied,Yes
Claiborne County,White,30,Female,Less than High School,Unemployed,"< $20,000",0,3,Granted,Yes
Claiborne County,Black,36,Male,Some College,Employed,"$20,000 - $50,000",0,8,Denied,Yes
Claiborne County,Black,61,Male,Less than High School,Employed,"$20,000 - $50,000",2,5,Denied,No
Claiborne County,Black,49,Male,High School,Unemployed,"$20,000 - $50,000",1,3,Granted,No
Claiborne County,Black,63,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",2,8,Denied,No
Claiborne County,Black,25,Male,Bachelor's Degree,Employed,"> $100,000",0,6,Denied,No
Claiborne County,Black,69,Female,Bachelor's Degree,Employed,"> $100,000",4,2,Granted,Yes
Claiborne County,Black,68,Male,High School,Unemployed,"< $20,000",1,4,Granted,No
Claiborne County,Black,25,Female,High School,Unemployed,"$20,000 - $50,000",1,3,Granted,No
Claiborne County,Black,22,Female,Some College,Employed,"$20,000 - $50,000",0,6,Denied,No
Claiborne County,Black,58,Male,Bachelor's Degree,Employed,"> $100,000",1,5,Denied,No
Claiborne County,Black,58,Female,Bachelor's Degree,Employed,"$20,000 - $50,000",1,4,Granted,No
Claiborne County,Black,29,Male,High School,Employed,"$20,000 - $50,000",0,3,Granted,No
Claiborne County,Black,75,Female,High School,Unemployed,"$20,000 - $50,000",2,6,Denied,No
Claiborne County,Black,36,Female,Less than High School,Employed,"< $20,000",1,4,Granted,Yes
Claiborne County,Black,65,Male,High School,Employed,"$20,000 - $50,000",0,4,Granted,No
Claiborne County,Black,39,Female,High School,Unemployed,"> $100,000",3,6,Denied,No
Claiborne County,Black,53,Female,High School,Employed,"< $20,000",2,7,Denied,Yes
Claiborne County,Black,59,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",2,7,Denied,No
Claiborne County,Black,25,Male,High School,Unemployed,"< $20,000",1,5,Denied,No
Claiborne County,Black,50,Female,Some College,Employed,"$50,000 - $100,000",0,3,Granted,No
Claiborne County,Black,23,Male,High School,Unemployed,"$20,000 - $50,000",0,8,Denied,Yes
Claiborne County,Black,43,Female,Some College,Unemployed,"$50,000 - $100,000",2,8,Denied,Yes
Claiborne County,Black,72,Male,Master's Degree,Employed,"$20,000 - $50,000",2,3,Granted,No
Claiborne County,Black,37,Female,Master's Degree,Employed,"$50,000 - $100,000",2,3,Granted,No
Claiborne County,Black,41,Female,Some College,Unemployed,"< $20,000",1,5,Denied,No
Claiborne County,Black,42,Male,Some College,Unemployed,"$20,000 - $50,000",3,5,Denied,No
Claiborne County,Black,34,Female,High School,Employed,"$20,000 - $50,000",1,3,Granted,No
Claiborne County,Black,65,Male,High School,Unemployed,"< $20,000",2,6,Denied,Yes
Claiborne County,Black,50,Male,Bachelor's Degree,Employed,"$20,000 - $50,000",2,8,Denied,Yes
Claiborne County,Black,26,Female,Master's Degree,Employed,"$50,000 - $100,000",2,4,Granted,No
Claiborne County,Black,39,Female,Less than High School,Employed,"$20,000 - $50,000",1,10,Denied,Yes
Claiborne County,Black,63,Female,High School,Employed,"$20,000 - $50,000",3,7,Denied,No
Claiborne County,Black,34,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",0,3,Granted,No
Claiborne County,Black,66,Female,High School,Unemployed,"$20,000 - $50,000",3,6,Denied,No
Claiborne County,Black,27,Female,High School,Employed,"$20,000 - $50,000",0,7,Denied,No
Claiborne County,White,58,Female,High School,Employed,"< $20,000",2,4,Granted,No
Claiborne County,Black,47,Male,High School,Unemployed,"< $20,000",4,6,Denied,Yes
Claiborne County,Black,72,Female,Less than High School,Unemployed,"$20,000 - $50,000",1,9,Denied,No
Claiborne County,Black,21,Male,High School,Employed,"$20,000 - $50,000",1,4,Granted,No
Claiborne County,Black,53,Female,Some College,Unemployed,"$50,000 - $100,000",0,6,Denied,No
Claiborne County,Black,29,Male,Less than High School,Unemployed,"$50,000 - $100,000",0,4,Granted,No
Claiborne County,Black,51,Male,Master's Degree,Employed,"$20,000 - $50,000",1,4,Granted,No
Claiborne County,Black,56,Male,High School,Employed,"$50,000 - $100,000",4,4,Granted,Yes
Claiborne County,White,74,Male,High School,Employed,"< $20,000",0,5,Granted,Yes
Claiborne County,White,70,Female,High School,Employed,"$20,000 - $50,000",2,5,Granted,No
Claiborne County,Black,30,Female,Less than High School,Employed,"$20,000 - $50,000",2,4,Granted,No
Claiborne County,Black,58,Male,High School,Unemployed,"$20,000 - $50,000",3,8,Denied,Yes
Claiborne County,Black,33,Male,Less than High School,Unemployed,"$20,000 - $50,000",1,5,Denied,No
Claiborne County,Black,40,Female,Less than High School,Employed,"$20,000 - $50,000",0,6,Denied,No
Claiborne County,Black,21,Male,Master's Degree,Employed,"$20,000 - $50,000",3,5,Denied,No
Claiborne County,Black,39,Female,High School,Employed,"$20,000 - $50,000",1,7,Denied,No
Claiborne County,Black,42,Female,Some College,Employed,"< $20,000",0,6,Denied,Yes
Claiborne County,Black,64,Female,High School,Employed,"< $20,000",3,5,Denied,Yes
Claiborne County,Black,52,Male,Less than High School,Unemployed,"< $20,000",3,6,Denied,Yes
Claiborne County,Black,43,Male,Some College,Employed,"$20,000 - $50,000",1,5,Denied,No
Claiborne County,Black,38,Male,Less than High School,Unemployed,"< $20,000",0,6,Denied,Yes
Claiborne County,Black,55,Female,Bachelor's Degree,Employed,"> $100,000",2,4,Granted,No
Claiborne County,Black,33,Male,Less than High School,Employed,"$20,000 - $50,000",1,5,Denied,No
Claiborne County,Black,36,Female,Some College,Employed,"< $20,000",2,9,Denied,Yes
Claiborne County,Black,38,Female,High School,Unemployed,"< $20,000",2,5,Denied,No
Claiborne County,Black,67,Male,Less than High School,Unemployed,"$20,000 - $50,000",2,6,Denied,No
Claiborne County,White,61,Female,Some College,Employed,"$50,000 - $100,000",1,5,Granted,No
Claiborne County,Black,60,Female,Master's Degree,Employed,"$50,000 - $100,000",0,7,Denied,No
Claiborne County,Black,74,Male,Less than High School,Unemployed,"$50,000 - $100,000",1,3,Granted,No
Claiborne County,Black,50,Female,Master's Degree,Employed,"$50,000 - $100,000",2,8,Denied,No
Claiborne County,Black,71,Male,High School,Employed,"$20,000 - $50,000",4,8,Denied,Yes
Claiborne County,Black,56,Female,High School,Unemployed,"< $20,000",2,6,Denied,Yes
Claiborne County,Black,66,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",2,5,Denied,No
Claiborne County,Black,71,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",2,10,Denied,No
Claiborne County,Black,71,Male,Some College,Employed,"< $20,000",1,3,Granted,No
Claiborne County,Black,71,Male,High School,Employed,"< $20,000",6,7,Denied,No
Claiborne County,Black,45,Male,Less than High School,Unemployed,"$50,000 - $100,000",2,7,Denied,No
Claiborne County,Black,61,Male,Some College,Employed,"$20,000 - $50,000",1,5,Denied,No
Claiborne County,Black,70,Male,Less than High School,Employed,"< $20,000",0,7,Denied,No
Claiborne County,Black,19,Male,Bachelor's Degree,Employed,"> $100,000",1,5,Denied,No
Claiborne County,Black,42,Male,Less than High School,Unemployed,"$50,000 - $100,000",2,5,Denied,No
Claiborne County,Black,50,Male,High School,Employed,"$20,000 - $50,000",0,7,Denied,No
Claiborne County,Black,68,Male,Bachelor's Degree,Employed,"$20,000 - $50,000",1,4,Granted,No
Claiborne County,Black,71,Female,Some College,Unemployed,"$50,000 - $100,000",0,4,Granted,No
Claiborne County,White,62,Male,Master's Degree,Employed,"> $100,000",1,1,Granted,No
Claiborne County,Black,33,Female,High School,Employed,"$20,000 - $50,000",2,7,Denied,No
Claiborne County,Black,64,Female,Some College,Unemployed,"< $20,000",1,6,Denied,No
Claiborne County,Black,59,Male,Less than High School,Employed,"< $20,000",1,5,Denied,Yes
Claiborne County,Black,53,Female,Some College,Unemployed,"< $20,000",1,9,Denied,Yes
Claiborne County,Other,42,Female,Master's Degree,Employed,"$50,000 - $100,000",0,3,Granted,No
Claiborne County,Black,57,Male,Bachelor's Degree,Employed,"$20,000 - $50,000",0,6,Denied,No
Claiborne County,Black,55,Female,Master's Degree,Employed,"$50,000 - $100,000",2,4,Granted,No
Claiborne County,Black,21,Female,Less than High School,Unemployed,"< $20,000",1,8,Denied,No
Claiborne County,Black,20,Male,Master's Degree,Employed,"$20,000 - $50,000",0,10,Denied,No
Claiborne County,Black,34,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",3,6,Denied,No
Claiborne County,Black,47,Male,High School,Unemployed,"$20,000 - $50,000",4,5,Denied,Yes
Claiborne County,Black,66,Female,Bachelor's Degree,Employed,"< $20,000",3,7,Denied,Yes
Claiborne County,Black,36,Female,High School,Employed,"$20,000 - $50,000",3,8,Denied,Yes
Claiborne County,Black,40,Male,Some College,Employed,"< $20,000",1,8,Denied,Yes
Claiborne County,Black,18,Male,High School,Employed,"< $20,000",0,7,Denied,No
Claiborne County,Black,32,Female,Less than High School,Employed,"$20,000 - $50,000",4,10,Denied,No
Claiborne County,Black,49,Female,Some College,Employed,"$20,000 - $50,000",0,2,Granted,No
Claiborne County,Black,34,Female,Bachelor's Degree,Employed,"> $100,000",2,6,Denied,No
Claiborne County,White,66,Female,Some College,Employed,"$50,000 - $100,000",0,4,Granted,No
Claiborne County,Black,22,Female,Bachelor's Degree,Employed,"< $20,000",1,3,Granted,No
Claiborne County,Black,52,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",1,10,Denied,No
Claiborne County,Black,27,Female,High School,Unemployed,"$50,000 - $100,000",2,5,Denied,No
Claiborne County,Black,41,Male,High School,Unemployed,"$50,000 - $100,000",1,4,Granted,No
Claiborne County,Black,18,Male,Some College,Employed,"$50,000 - $100,000",0,7,Denied,No
Claiborne County,Black,66,Male,Some College,Employed,"$50,000 - $100,000",1,7,Denied,No
Claiborne County,White,72,Male,Some College,Unemployed,"< $20,000",2,4,Granted,Yes
Claiborne County,Black,33,Male,Bachelor's Degree,Employed,"$20,000 - $50,000",1,6,Denied,No
Claiborne County,Black,30,Male,Bachelor's Degree,Employed,"$20,000 - $50,000",1,3,Granted,No
Claiborne County,Black,46,Female,Less than High School,Employed,"< $20,000",0,5,Denied,Yes
Claiborne County,Black,37,Female,Less than High School,Employed,"< $20,000",1,8,Denied,Yes
Claiborne County,White,32,Female,Less than High School,Employed,"$20,000 - $50,000",2,3,Granted,No
Claiborne County,Black,43,Male,Some College,Employed,"$20,000 - $50,000",3,5,Denied,No
Claiborne County,Black,58,Female,High School,Unemployed,"< $20,000",2,5,Denied,No
Claiborne County,Black,40,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",2,4,Granted,No
Claiborne County,Black,75,Male,High School,Employed,"< $20,000",0,8,Denied,Yes
Claiborne County,Black,59,Female,High School,Unemployed,"< $20,000",4,5,Denied,No
Claiborne County,White,29,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",1,6,Granted,No
Claiborne County,Black,36,Female,Less than High School,Employed,"$50,000 - $100,000",3,4,Granted,No
Claiborne County,Black,53,Female,Less than High School,Unemployed,"$20,000 - $50,000",2,4,Granted,No
Claiborne County,Black,39,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",5,10,Denied,No
Claiborne County,Black,20,Male,High School,Employed,"< $20,000",0,9,Denied,No
Claiborne County,Black,31,Female,Less than High School,Unemployed,"$20,000 - $50,000",1,3,Granted,No
Claiborne County,White,62,Female,Some College,Employed,"$20,000 - $50,000",1,3,Granted,No
Claiborne County,Black,25,Female,Less than High School,Unemployed,"< $20,000",2,9,Denied,Yes
Claiborne County,Black,35,Female,High School,Unemployed,"$20,000 - $50,000",2,5,Denied,No
Claiborne County,Black,43,Male,Some College,Employed,"$50,000 - $100,000",2,4,Granted,No
Claiborne County,Black,25,Female,Bachelor's Degree,Employed,"$20,000 - $50,000",0,6,Denied,No
Claiborne County,Black,70,Male,Less than High School,Employed,"$20,000 - $50,000",3,5,Denied,No
Claiborne County,Black,55,Female,High School,Employed,"$20,000 - $50,000",3,7,Denied,No
Claiborne County,White,55,Male,Less than High School,Unemployed,"< $20,000",3,4,Granted,Yes
Claiborne County,Black,54,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",2,7,Denied,No
Claiborne County,Black,58,Male,Some College,Employed,"$20,000 - $50,000",1,4,Granted,No
Claiborne County,White,71,Male,Master's Degree,Employed,"$50,000 - $100,000",3,3,Granted,No
Claiborne County,Black,66,Female,Less than High School,Employed,"< $20,000",1,3,Granted,No
Claiborne County,Black,52,Male,Less than High School,Employed,"< $20,000",1,6,Denied,No
Claiborne County,Black,33,Female,Less than High School,Employed,"< $20,000",2,4,Granted,Yes
Claiborne County,Black,29,Female,Some College,Unemployed,"< $20,000",1,5,Denied,No
Claiborne County,Black,26,Male,High School,Employed,"< $20,000",2,8,Denied,No
Claiborne County,Black,46,Female,High School,Employed,"$20,000 - $50,000",2,7,Denied,No
Claiborne County,Black,65,Female,Less than High School,Employed,"$20,000 - $50,000",2,10,Denied,No
Claiborne County,Black,36,Male,High School,Employed,"$20,000 - $50,000",0,9,Denied,Yes
Claiborne County,Black,36,Male,Bachelor's Degree,Employed,"> $100,000",5,6,Denied,No
Claiborne County,Black,64,Female,Some College,Unemployed,"< $20,000",3,6,Denied,Yes
Claiborne County,Black,68,Male,Some College,Employed,"$50,000 - $100,000",0,6,Denied,No
Claiborne County,Black,59,Male,Master's Degree,Employed,"> $100,000",2,7,Denied,No
Claiborne County,White,54,Male,Some College,Employed,"< $20,000",0,2,Granted,No
Claiborne County,Black,73,Male,Some College,Unemployed,"< $20,000",2,5,Denied,Yes
Claiborne County,Black,28,Female,Some College,Unemployed,"< $20,000",2,2,Granted,No
Claiborne County,White,62,Female,Some College,Unemployed,"$50,000 - $100,000",0,3,Granted,No
Claiborne County,Other,67,Male,Less than High School,Employed,"$50,000 - $100,000",2,8,Denied,Yes
Claiborne County,Black,53,Female,Some College,Employed,"< $20,000",2,5,Denied,No
Claiborne County,White,25,Male,High School,Unemployed,"$20,000 - $50,000",0,8,Denied,Yes
Claiborne County,Other,32,Female,Some College,Unemployed,"$20,000 - $50,000",1,7,Denied,No
Claiborne County,Black,35,Male,Some College,Employed,"$20,000 - $50,000",1,5,Denied,No
Claiborne County,Black,41,Female,High School,Employed,"< $20,000",0,10,Denied,Yes
Claiborne County,Black,41,Male,Some College,Employed,"$20,000 - $50,000",2,4,Granted,No
Claiborne County,Black,61,Male,High School,Unemployed,"$50,000 - $100,000",2,4,Granted,No
Claiborne County,Black,19,Female,PhD,Employed,"$50,000 - $100,000",0,3,Granted,No
Claiborne County,Black,63,Male,Less than High School,Employed,"< $20,000",0,6,Denied,Yes
